번호,상호,품목,구,동,결재방법,전화번호,주소,데이터기준일자
488,경이식품,기타(도소매),중원구,성남동,모두,031-000-0000,성남시 중원구 광명로100번길 11-1,2021-01-16
489,경일유통,슈퍼마켓,수정구,고등동,지류,031-756-8660,성남시 수정구 대왕판교로959번길 23-1,2021-01-16
490,경일음악학원,학원,중원구,은행2동,모두,031-742-9533,"성남시 중원구 은행로 5, 4층",2021-01-16
491,경자씨육개장,음식점,분당구,서현1동,모두,031-623-8178,"성남시 분당구 중앙공원로40번길 4, 1동 110호(서현동, 현대카스올림픽골프파크)",2021-01-16
492,경주상회,기타(도소매),중원구,하대원동,지류,031-751-7411,성남시 중원구 마지로 131,2021-01-16
493,경호당,귀금속,수정구,신흥1동,모두,031-757-4552,성남시 수정구 수정로154번길 10,2021-01-16
494,경훈사,기타(도소매),수정구,태평3동,지류,031-000-0000,성남시 수정구 수정북로 18,2021-01-16
495,경희 원 한의원,한의원,분당구,판교동,지류,031-8017-8275,"성남시 분당구 운중로 239, 도메인빌딩 501(판교동)",2021-01-16
496,경희365한의원,한의원,중원구,상대원2동,지류,031-736-5365,경기도 성남시 중원구 희망로 339-2 2층 경희365한의원,2021-01-16
497,경희건강한의원,한의원,수정구,양지동,모두,031-8039-5002,경기도 성남시 수정구 산성대로 517 1층 경희건강한의원,2021-01-16
498,경희고정민한의원,한의원,분당구,서현1동,모두,031-708-8876,"성남시 분당구 중앙공원로40번길 4, 204호",2021-01-16
499,경희김한겸한의원,한의원,분당구,정자2동,모두,031-712-7582,"성남시 분당구 내정로 58, 204호",2021-01-16
500,경희김한의원,한의원,중원구,금광1동,모두,031-749-1075,경기도 성남시 중원구 금상로 81 1층,2021-01-16
501,경희나로한방병원,병원,분당구,금곡동,모두,031-701-3000,경기도 성남시 분당구 돌마로 67 8층 경희나로한방병원,2021-01-16
502,경희대 멘토 태권도,학원,중원구,도촌동,모두,031-000-0000,"성남시 중원구 도촌남로 101, 201호(도촌동)",2021-01-16
503,경희대 블랙벨트 태권도장,학원,수정구,신흥1동,지류,031-754-1710,"성남시 수정구 탄리로 56, 3층(신흥동)",2021-01-16
504,경희대 신성 태권도장,학원,분당구,서현1동,모바일,031-708-4425,"성남시 분당구 중앙공원로 54, 501호(서현동, 우성프라자)",2021-01-16
505,경희대 진무 태권도장,학원,수정구,신흥2동,모두,031-735-5536,"경기도 성남시 수정구 수정로 341, 505호(신흥동)",2021-01-16
506,경희대 진무 태권도장,문화·스포츠,분당구,정자동,지류,031-711-5535,경기도 성남시 분당구 정자로 78 영동프라자4층 403호 경희대 진무 태권도장,2021-01-16
507,경희대 코리아태권도,학원,수정구,산성동,모두,031-736-3232,"성남시 수정구 수정로342번길 30, 3층(산성동)",2021-01-16
508,경희대 한빛 태권도장,학원,수정구,위례동,모두,031-755-8809,"성남시 수정구 위례동로 61, B01호(창곡동, 자연앤래미안e편한세상 근린생활시설)",2021-01-16
509,경희대박사태권도장,문화·스포츠,분당구,야탑3동,지류,031-709-0123,경기도 성남시 분당구 야탑로 245 (야탑동),2021-01-16
510,경희대별빛태권도장,문화·스포츠,분당구,구미동,모두,031-717-2650,경기도 성남시 분당구 구미로75번길 11 201호,2021-01-16
511,경희대석사 신흥태권도장,학원,수정구,태평1동,모두,031-732-2618,"성남시 수정구 수정로 205, 4층 (산운빌딩)",2021-01-16
512,경희대석사참바른태권도,학원,분당구,정자동,모두,031-719-0250,"경기도 성남시 분당구 정자일로 240, 505호(정자동, 월드프라자)",2021-01-16
513,경희대원한의원,한의원,중원구,상대원2동,지류,031-745-1075,경기도 성남시 중원구 희망로 356 휴먼플라자 303호 경희대원한의원,2021-01-16
514,경희대제일태권도장,학원,중원구,성남동,모바일,031-741-5050,"성남시 중원구 광명로 129, 2층(성남동)",2021-01-16
515,경희대퍼스트부부태권도,학원,수정구,위례동,모바일,031-756-7112,"성남시 수정구 위례동로 135-6, 601.602호(창곡동,이너매스위례)",2021-01-16
516,경희동은한의원,한의원,분당구,수내1동,모두,031-716-8561,"성남시 분당구 내정로165번길 38, 210호 (금호상가)",2021-01-16
517,경희미르한의원,한의원,분당구,정자1동,모두,031-718-9763,성남시 분당구 성남대로331번길 3-3  젤존타워 5층 501호,2021-01-16
518,경희밝은미소한의원,한의원,분당구,구미1동,모두,031-714-0160,성남시 분당구 돌마로 80  204호,2021-01-16
519,경희병인한의원,한의원,수정구,수진1동,지류,031-755-2221,경기도 성남시 수정구 수정로 144 수정클리닉 2층 경희병인한의원,2021-01-16
520,경희보궁,음식점,중원구,성남동,모두,031-706-6669,경기도 성남시 중원구 새마을로 6 금성빌딩 일층 경희보궁,2021-01-16
521,경희사랑방한의원,한의원,수정구,수진2동,지류,031-721-2255,경기도 성남시 수정구 수정로 98 (수진동),2021-01-16
522,경희사랑채한의원,한의원,분당구,구미동,모바일,031-697-8275,"성남시 분당구 미금로 45, 212호(구미동,진도훼미리프라자)",2021-01-16
523,경희수내한의원,한의원,분당구,수내1동,지류,031-719-7900,"성남시 분당구 내정로174번길 6, 301호(수내동, 한올상가빌딩3층)",2021-01-16
524,경희수내한의원,한의원,분당구,수내2동,지류,031-719-7900,"경기도 성남시 분당구 내정로174번길 6 3층, 경희수내한의원",2021-01-16
525,경희수산,기타(도소매),중원구,하대원동,모바일,031-752-2930,"성남시 중원구 마지로 118, 4동 1층 108호(하대원동, 하대원공설시장)",2021-01-16
526,경희스카이한의원,한의원,분당구,정자1동,모두,031-712-5101,"경기도 성남시 분당구 느티로 16, 405호(정자동, 젤존타워1)",2021-01-16
527,경희우리한의원,한의원,분당구,삼평동,지류,031-709-1075,경기도 성남시 분당구 판교로 372 (삼평동),2021-01-16
528,경희위례한의원,한의원,수정구,위례동,지류,031-759-7755,"경기도 성남시 수정구 위례동로 135-6 401호, 301호 경희위례한의원",2021-01-16
529,경희위례한의원,병원,수정구,위례동,지류,031-759-7755,성남시 수정구 위례동로 135-6,2021-01-16
530,경희유진한의원,한의원,수정구,신흥2동,모두,031-8039-7510,경기도 성남시 수정구 수정로 291 산성역포레스티아 서문상가 1동 303호,2021-01-16
531,경희으뜸한의원,한의원,중원구,상대원2동,지류,031-741-1075,"경기도 성남시 중원구 희망로353번길 4 2층, 경희으뜸한의원",2021-01-16
532,경희이매한의원,한의원,분당구,이매1동,지류,031-701-3233,경기도 성남시 분당구 판교로 478 (이매동),2021-01-16
533,경희중앙한의원,한의원,수정구,위례동,지류,031-722-0309,경기도 성남시 수정구 위례광장로 300 (창곡동),2021-01-16
534,경희청강한의원,한의원,분당구,야탑3동,지류,031-701-7580,경기도 성남시 분당구 매화로 38 2층 경희청강한의원,2021-01-16
535,경희청강한의원,한의원,분당구,야탑3동,지류,031-701-7580,성남시 분당구 매화로 38 201호,2021-01-16
536,경희청정한의원,한의원,분당구,구미동,지류,031-715-4567,경기도 성남시 분당구 돌마로90번길 4 307호,2021-01-16
537,경희토정한의원,한의원,분당구,구미동,모두,031-712-7779,"성남시 분당구 성남대로 30, 301(구미동,동아그린프라자)",2021-01-16
538,경희푸른한의원,한의원,분당구,수내3동,지류,031-713-1075,경기도 성남시 분당구 돌마로366번길 42 동한프라자 204 경희푸른한의원,2021-01-16
539,경희하늘맘한의원,한의원,수정구,위례동,모두,031-757-2080,경기도 성남시 수정구 위례동로 141 우성메디피아 405호,2021-01-16
540,경희한약국,약국,수정구,태평1동,지류,031-756-7725,경기도 성남시 수정구 모란로 89 (41131540007221번지),2021-01-16
541,경희한약국,기타(도소매),수정구,태평1동,모두,031-756-7725,성남시 수정구 모란로 89(태평동),2021-01-16
542,경희한의원,한의원,중원구,성남동,모두,031-754-0045,경기도 성남시 중원구 광명로 5 301,2021-01-16
543,경희한의원,한의원,분당구,서현1동,지류,031-701-0034,"성남시 분당구 중앙공원로40번길 8, 218호(현대근린상가)",2021-01-16
544,경희한의원,한의원,수정구,수진1동,모두,031-751-7445,"성남시 수정구 수정로 120, 2층",2021-01-16
545,경희한중한의원,한의원,수정구,신흥3동,지류,031-743-1075,경기도 성남시 수정구 시민로 172 성원빌딩.2층.경희한중한의원,2021-01-16
546,경희행복한한의원,한의원,수정구,태평3동,지류,031-752-0207,경기도 성남시 수정구 수정로119번길 4 2층,2021-01-16
547,경희M한의원,한의원,분당구,정자동,지류,031-715-1075,경기도 성남시 분당구 성남대로331번길 13 2층 204호 경희M한의원 ( 백궁프라자1 ),2021-01-16
548,경희M한의원,한의원,분당구,정자1동,지류,031-715-1075,"성남시 분당구 성남대로331번길 13, 2층 204호(정자동, 백궁프라자)",2021-01-16
549,계동치킨,음식점,중원구,상대원3동,모두,031-741-9958,"성남시 중원구 금상로 76, 1층(상대원동)",2021-01-16
550,계란집,음식점,분당구,삼평동,모두,031-698-7827,"경기도 성남시 분당구 판교역로 230, b동 지하1층 B-107호(삼평동, 삼환하이펙스)",2021-01-16
551,계란집정자,음식점,분당구,정자동,모두,070-8888-2929,경기도 성남시 분당구 내정로 29 108호 계란집,2021-01-16
552,계룡푸드,기타(도소매),중원구,하대원동,지류,031-751-2363,성남시 중원구 마지로 127,2021-01-16
553,계보수학학원,학원,중원구,금광1동,모두,031-000-0000,"성남시 중원구 금빛로 49, 3층 2호(금광동, 대상빌딩)",2021-01-16
554,계식당 정자점,음식점,분당구,정자1동,모두,031-717-6606,"성남시 분당구 정자일로 135, D동 202호(정자동, 정자동3차 푸르지오 시티)",2021-01-16
555,계절반찬,기타(도소매),중원구,하대원동,지류,031-758-4828,"성남시 중원구 둔촌대로 300, 상가동 1층 132호(하대원동, 아튼빌)",2021-01-16
556,계절스시 분당서현점,음식점,분당구,서현1동,모두,070-8972-8973,경기도 성남시 분당구 황새울로312번길 20 지하105호,2021-01-16
557,계화원,음식점,중원구,성남동,모두,031-758-8599,경기도 성남시 중원구 광명로 89 (성남동),2021-01-16
558,고(Go),기타(도소매),중원구,성남동,지류,031-000-0000,"성남시 중원구 산성대로 지하 204-5, E동 다열 11-1,11-2호(성남동, 성남중앙지하도상가)",2021-01-16
559,고가사랑,음식점,수정구,태평2동,모두,031-754-0393,"성남시 수정구 수정북로 64, 1층일부호(태평동,성조빌)",2021-01-16
560,고고스윗,떡,중원구,성남동,모두,031-000-0000,"성남시 중원구 산성대로68번길 7, 1층 101호(성남동)",2021-01-16
561,고고씽 파크,기타(도소매),분당구,서현1동,모두,031-000-0000,"성남시 분당구 새마을로 10, 4층(서현동, 그린빌딩)",2021-01-16
562,고구려 태권도 아카데미,문화·스포츠,중원구,하대원동,지류,031-751-1950,"성남시 중원구 둔촌대로 305, 장원빌딩 3층(하대원동)",2021-01-16
563,고구려약국,약국,수정구,수진1동,모두,031-702-0584,"성남시 수정구 수정로 130, 창도빌딩",2021-01-16
564,고궁,음식점,중원구,도촌동,모두,031-723-8810,성남시 중원구 여수울로15번길 8-6,2021-01-16
565,고기굽는마을,음식점,중원구,은행2동,지류,031-732-0580,경기도 성남시 중원구 산성대로 508 (은행동),2021-01-16
566,고기나라,음식점,중원구,금광1동,지류,031-735-8205,"성남시 중원구 광명로 255(중앙동, 1층)",2021-01-16
567,고기나라,음식점,수정구,수진2동,지류,031-754-9279,"성남시 수정구 모란로 56, 1층",2021-01-16
568,고기나라정육점,정육점,수정구,태평4동,모두,031-755-8992,성남시 수정구 공원로445번길 8,2021-01-16
569,고기대통령정육점,기타(도소매),분당구,운중동,모두,031-703-8292,경기도 성남시 분당구 운중로 132 큐브타워107호(운중동),2021-01-16
570,고기마켓,정육점,중원구,금광2동,모두,031-743-6972,성남시 중원구 자혜로8번길 61(금광동),2021-01-16
571,고기백화점,정육점,분당구,서현1동,모두,031-8017-1004,"성남시 분당구 중앙공원로40번길 42, 49동 130호(서현동,우성종합상가)",2021-01-16
572,고기사랑,음식점,중원구,상대원1동,지류,031-747-4731,성남시 중원구 둔촌대로425번길 33(상대원동),2021-01-16
573,고기시장,음식점,중원구,금광1동,모두,031-745-2432,성남시 중원구 산성대로334번길 8,2021-01-16
574,고기의즐거움 분당직영점,음식점,분당구,정자1동,모두,031-713-7737,"성남시 분당구 성남대로331번길 9-14, 모선빌딩 1층 102호",2021-01-16
575,고기좋아,음식점,수정구,태평1동,모바일,031-753-1392,"성남시 수정구 성남대로1318번길 2, 1층(태평동)",2021-01-16
576,고깃간 수진점,기타(도소매),수정구,수진2동,모두,031-756-0690,"성남시 수정구 수정남로 10, 1층 118호 (제일프라자)",2021-01-16
577,고깃집 궁전냉면,음식점,중원구,성남동,모두,031-756-9233,성남시 중원구 둔촌대로183번길 1(성남동),2021-01-16
578,고노미초밥,음식점,중원구,성남동,모두,031-753-3353,경기도 성남시 중원구 광명로 86-4 1층고노미초밥,2021-01-16
579,고담찹쌀순대,음식점,분당구,판교동,모두,031-705-3842,"성남시 분당구 운중로233번길 8-4, 1층 101호(판교동)",2021-01-16
580,고대생막창,음식점,분당구,삼평동,모두,031-8016-1992,성남시 분당구 판교역로241번길 22 판교M타워 120호 (삼평동),2021-01-16
581,고대영어,학원,분당구,수내2동,모두,031-715-7237,경기도 성남시 분당구 내정로166번길 7-6 파크타운대림아파트 138동 1804호,2021-01-16
582,고대영어학원,학원,수정구,위례동,모두,031-758-0584,경기도 성남시 수정구 위례광장로 310 A동 1008호,2021-01-16
583,고든치킨(gordon chicken),음식점,분당구,정자동,모두,031-716-1777,경기도 성남시 분당구 정자로76번길 5 1층 고든치킨,2021-01-16
584,고등퍼스트치과,병원,수정구,고등동,모바일,031-603-7522,경기도 성남시 수정구 고등로 4 301 302 303 호 고등퍼스트 치과,2021-01-16
585,고래고래,음식점,수정구,신흥1동,지류,031-756-7664,경기도 성남시 수정구 수정로 176-1 (신흥동),2021-01-16
586,고래라떼,음식점,중원구,금광2동,모바일,031-742-7428,"성남시 중원구 산성대로372번길 21,1층(금광동)",2021-01-16
587,고래성,음식점,수정구,수진2동,모두,031-752-1346,경기도 성남시 수정구 제일로109번길 1 (수진동),2021-01-16
588,고래성,음식점,수정구,수진2동,모두,031-752-1346,경기도 성남시 수정구 제일로109번길 1 1층(수진동),2021-01-16
589,고래제과,음식점,분당구,정자동,지류,,경기도 성남시 분당구 불정로71번길 3 1층 고래제과,2021-01-16
590,고려드림내과,병원,중원구,성남동,지류,031-752-0067,경기도 성남시 중원구 둔촌대로 84 모란프라임타워 7층 701호,2021-01-16
591,고려매운왕족발2호점,음식점,중원구,성남동,지류,031-753-7511,경기도 성남시 중원구 제일로35번길 56 2층,2021-01-16
592,고려수지침성남지회,기타(도소매),중원구,금광2동,모두,031-742-7983,경기도 성남시 중원구 산성대로 376 (금광동),2021-01-16
593,고려애견종합병원,동물병원,수정구,신흥3동,모바일,031-735-1942,성남시 수정구 시민로 146(신흥동),2021-01-16
594,고려왕족발,음식점,중원구,성남동,지류,031-756-7511,경기도 성남시 중원구 제일로35번길 56 지층,2021-01-16
595,고려왕족발,음식점,중원구,성남동,모두,031-755-7511,성남시 중원구 성남대로1148번길 20,2021-01-16
596,고려유통,슈퍼마켓,중원구,상대원1동,모두,031-744-3195,성남시 중원구 사기막골로 189 (상대원동),2021-01-16
597,고려홍삼전시판매장,기타(도소매),중원구,금광1동,지류,031-623-7022,성남시 중원구 광명로 390(금광동),2021-01-16
598,고릴라멀티짐,헬스장,분당구,서현1동,지류,031-709-0880,경기도 성남시 분당구 서현로 192 5층,2021-01-16
599,고릴라짐,문화·스포츠,분당구,수내1동,지류,031-718-8510,경기도 성남시 분당구 황새울로258번길 23 (수내동),2021-01-16
600,고릴라캠핑 성남점,기타(도소매),분당구,야탑3동,지류,031-755-3155,성남시 분당구 판교로592번길 25(야탑동),2021-01-16
601,고릴라캠핑성남점,기타(도소매),분당구,야탑3동,지류,031-755-3155,경기도 성남시 분당구 판교로592번길 25 고릴라캠핑성남점,2021-01-16
602,고맙습니다,음식점,분당구,야탑1동,모두,031-703-6869,"성남시 분당구 장미로 78, 101호(야탑동, 시그마3)",2021-01-16
603,고미고미(고미국수와 고미찌개),음식점,분당구,서현1동,지류,031-707-8655,"성남시 분당구 중앙공원로31번길 42(서현동,서현파크플라자107호,108호)",2021-01-16
604,고미꽃시래,음식점,분당구,서현2동,모두,031-000-0000,"성남시 분당구 불정로 422, 1층전체(서현동)",2021-01-16
605,고미다미,음식점,분당구,정자동,지류,070-7702-8289,경기도 성남시 분당구 성남대로331번길 9-6 2층 영영키친 고미다미,2021-01-16
606,고바우곱창,음식점,중원구,성남동,지류,031-755-3092,경기도 성남시 중원구 제일로35번길 55 고바우곱창,2021-01-16
607,고박사카센타,카센타,중원구,하대원동,모두,031-751-4776,성남시 중원구 시민로 5,2021-01-16
608,고반식당,음식점,분당구,삼평동,모두,031-707-5861,"경기도 성남시 분당구 동판교로177번길 25, 2층 205호(삼평동)",2021-01-16
609,고반식당 야탑점,음식점,분당구,야탑1동,모두,031-703-0704,"경기도 성남시 분당구 야탑로105번길 12-5, 1층(야탑동)",2021-01-16
610,고반식당 판교아브뉴프랑점,음식점,분당구,삼평동,지류,031-707-5861,"경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스)",2021-01-16
611,고방,제과제빵,분당구,야탑3동,모두,031-701-0295,"성남시 분당구 야탑로 235, 1층 102호 (환미빌딩)",2021-01-16
612,고베소 오리역점,음식점,분당구,구미동,지류,031-782-9000,"경기도 성남시 분당구 성남대로 51 104호(구미동, 분당포스빌오피스텔)",2021-01-16
613,고봉민 김밥인성남도촌점,음식점,중원구,도촌동,모두,031-754-1599,"성남시 중원구 도촌로7번길 3-1, 1층 101호(도촌동)",2021-01-16
614,고봉민김밥 (분당삼평),음식점,분당구,삼평동,지류,031-000-0000,"성남시 분당구 판교로 375, 1층 105호",2021-01-16
615,고봉민김밥삼평점,음식점,분당구,삼평동,지류,031-8017-8735,성남시 분당구 판교로 375,2021-01-16
616,고봉민김밥인 분당수내점,음식점,분당구,수내1동,지류,031-714-8163,"성남시 분당구 내정로165번길 50, 110(수내동,크리스탈빌딩)",2021-01-16
617,고봉민김밥人 성남분당판교점,음식점,분당구,삼평동,모두,031-8016-4112,"성남시 분당구 대왕판교로606번길 58, 1층 1-87호(삼평동, 판교푸르지오월드마크)",2021-01-16
618,고봉민김밥판교운중점,음식점,분당구,운중동,지류,031-8017-3018,성남시 분당구 운중로 122 골드클래스102호,2021-01-16
619,고봉민깁밥,음식점,중원구,성남동,모두,031-759-6629,"성남시 중원구 광명로 2, 1층",2021-01-16
620,고봉삼계탕 분당지점,음식점,분당구,서현1동,모두,031-701-7800,"경기도 성남시 분당구 황새울로360번길 35, 1층 104호(서현동, 서현현대프라자)",2021-01-16
621,고봉삼계탕 분당지점,음식점,분당구,서현1동,모두,031-701-7800,"경기도 성남시 분당구 황새울로360번길 35, 1층 104호(서현동, 서현현대프라자)",2021-01-16
622,고봉식당,음식점,분당구,정자1동,모두,031-713-5397,"성남시 분당구 정자일로 197, 1층 110호(정자동)",2021-01-16
623,고빈티지스타일,기타(도소매),분당구,구미동,지류,031-728-2778,"경기도 성남시 분당구 돌마로 80, 201호(구미동, 현대벤처빌 2층 135호)",2021-01-16
624,고산수,음식점,분당구,야탑1동,지류,031-709-5525,경기도 성남시 분당구 성남대로925번길 11 1층 고산수,2021-01-16
625,고산수,음식점,분당구,야탑1동,지류,031-709-9042,성남시 분당구 성남대로925번길 11,2021-01-16
626,고솝,제과제빵,분당구,이매1동,모바일,031-716-9555,"성남시 분당구 정자일로 220, 2단지상가 1층 117호(정자동,동양정자파라곤)",2021-01-16
627,고수,음식점,중원구,도촌동,모두,031-000-0000,"성남시 중원구 성남대로997번길 51-4, 1층(여수동)",2021-01-16
628,고수,음식점,중원구,도촌동,모두,031-752-4111,"경기도 성남시 중원구 성남대로997번길 51-4, 1층(여수동)",2021-01-16
629,고수5호점,음식점,분당구,서현2동,모두,031-705-7988,"경기도 성남시 분당구 돌마로 478, 1층 122호 (서현동)",2021-01-16
630,고수위 운전면허 서현점,기타(도소매),분당구,서현1동,모두,031-704-7004,경기도 성남시 분당구 황새울로360번길 28 2층 207호,2021-01-16
631,고수의 운전면허 미금점,기타(도소매),분당구,금곡동,모두,031-603-7577,"성남시 분당구 성남대로 165, 208호(금곡동, 천사의도시1 오피스텔)",2021-01-16
632,고수학학원,학원,수정구,위례동,모두,02-400-2853,경기도 성남시 수정구 위례동로 153 9층 고수학학원,2021-01-16
633,고스트,카페,분당구,야탑3동,모두,031-706-7752,"성남시 분당구 장미로 198,104-2호(아델파크빌 지하1층 제비104-2호)",2021-01-16
634,고암남원추어탕,음식점,수정구,양지동,지류,031-742-5666,경기도 성남시 수정구 산성대로 597 고암남원추어탕,2021-01-16
635,고야곱창,음식점,분당구,야탑1동,모두,031-703-0189,"성남시 분당구 장미로 86, 1층 111호(야탑동, 이코노샤르망)",2021-01-16
636,고양이별작은아이,기타(도소매),수정구,위례동,모두,031-701-3041,"성남시 수정구 위례광장로 310, B동 405호",2021-01-16
637,고양이부엌,음식점,분당구,야탑2동,지류,031-701-9793,"성남시 분당구 판교로 431, 제일빌딩 106호,107호(야탑동)",2021-01-16
638,고양이부엌,음식점,분당구,정자1동,모두,031-726-4688,"성남시 분당구 정자일로 240, 106호(정자동, 월드프라자)",2021-01-16
639,고양이부엌 서현점,음식점,분당구,서현1동,모두,031-705-5777,"성남시 분당구 서현로210번길 20, 지하1층 B1-2호 (코코프라자)",2021-01-16
640,고양이선생,음식점,중원구,성남동,모두,031-000-0000,"성남시 중원구 성남대로1140번길 11, 1층(성남동)",2021-01-16
641,고엔스시,음식점,분당구,구미동,지류,031-718-8427,경기도 성남시 분당구 성남대로2번길 6 LG트윈하우스 104호,2021-01-16
642,고운머리,기타(도소매),분당구,구미동,모두,031-711-4084,성남시 분당구 돌마로80 2층 201호 일부 (139호) (구미동 분당현대벤처빌),2021-01-16
643,고운머리염색,미용,중원구,은행2동,모두,031-741-6058,성남시 중원구 산성대로604번길 4 지층1호 (은행동),2021-01-16
644,고운아이,미용,중원구,상대원1동,모두,031-000-0000,"성남시 중원구 박석로62번길 4, 1층 일부(상대원동)",2021-01-16
645,고운피부,미용,수정구,신흥3동,지류,031-756-1213,경기도 성남시 수정구 공원로 333 (신흥동),2021-01-16
646,고운피부 블루엣,기타(도소매),분당구,수내1동,모두,031-714-9845,경기도 성남시 분당구 백현로101번길 16 대덕프라자306호고운피부 블루엣,2021-01-16
647,고운헤어,미용,중원구,은행2동,모두,031-743-6687,경기도 성남시 중원구 은이로 22 102호,2021-01-16
648,고유포레스트,미용,수정구,산성동,모두,031-745-7766,"경기도 성남시 수정구 수정로 291, 203호(신흥동, 산성역포레스티아 상가)",2021-01-16
649,고은 에스테틱,미용,중원구,상대원1동,지류,031-736-0908,"성남시 성남시 중원구 박석로33번길 14(상대원동,1층)",2021-01-16
650,고은날프로젝트,기타(도소매),중원구,상대원2동,모두,,경기도 성남시 중원구 희망로392번길 14-3 102호,2021-01-16
651,고은보석,귀금속,수정구,신흥3동,지류,031-749-8809,성남시 수정구 산성대로269번길 6,2021-01-16
652,고은스킨&바디,기타(도소매),수정구,태평2동,모두,031-752-1985,"경기도 성남시 수정구 수정로153번길 19-1, 1층(태평동)",2021-01-16
653,고은콜라겐 분당점,기타(도소매),분당구,백현동,모두,031-704-4007,"성남시 분당구 판교역로2번길 35, 102호(백현동)",2021-01-16
654,고은한복,기타(도소매),수정구,태평3동,지류,031-757-0331,성남시 수정구 수정북로39번길 2,2021-01-16
655,고을옻닭.염소탕전문점,음식점,분당구,구미동,지류,031-716-6133,경기도 성남시 분당구 금곡로25번길 21-7 (구미동),2021-01-16
656,고인돌무한통삼,음식점,분당구,금곡동,모바일,031-713-5060,"성남시 분당구 성남대로 168, 210호(금곡동, 미도프라자)",2021-01-16
657,고점자 부추칼국수만두,음식점,분당구,삼평동,모두,031-789-3842,"성남시 분당구 판교역로 231, 에스동 1층 127호(삼평동, 에이치스퀘어)",2021-01-16
658,고주몽백갈비 서현지점,음식점,분당구,서현1동,지류,031-703-9595,"성남시 분당구 안골로 1, 2층",2021-01-16
659,고즈넉하다,카페,수정구,위례동,지류,,경기도 성남시 수정구 위례광장로 36 4b-104 고즈넉하다,2021-01-16
660,고진감래 2020,음식점,분당구,정자1동,모두,031-711-7675,"성남시 분당구 정자일로 192, 1층 108호(정자동, 지.파크프라자)",2021-01-16
661,고진감래2020,음식점,분당구,정자1동,모두,031-711-7675,"경기도 성남시 분당구 정자일로 192, 108호",2021-01-16
662,고집불통,음식점,중원구,성남동,모두,031-756-5354,경기도 성남시 중원구 성남대로1130번길 9(성남동),2021-01-16
663,고집불통,음식점,분당구,분당동,모두,031-701-1077,성남시 분당구 서현로429번길 5(분당동),2021-01-16
664,고집불통,음식점,분당구,정자동,모바일,031-716-0999,"경기도 성남시 분당구 내정로17번길 4-11, 106호(정자동, 금산프라자)",2021-01-16
665,고창공업사유리,기타(도소매),수정구,양지동,지류,031-731-6351,성남시 수정구 산성대로503번길 4,2021-01-16
666,고창댁설농탕,음식점,분당구,서현2동,모두,031-701-8939,"성남시 분당구 돌마로486번길 12, 효자촌근린상가지하 3호(서현동)",2021-01-16
667,고추짬뽕,음식점,중원구,상대원3동,지류,031-733-3888,성남시 중원구 박석로 93번길 17-2,2021-01-16
668,고쿠텐,음식점,분당구,정자동,지류,070-8677-2297,경기도 성남시 분당구 정자로 13 월드비터 103호,2021-01-16
669,고쿠텐서현점,음식점,분당구,서현1동,지류,031-696-1297,경기도 성남시 분당구 황새울로335번길 5 1층 105-1 N타운빌딩,2021-01-16
670,고프로정육식당,음식점,분당구,정자동,모두,031-718-1783,성남시 분당구 느티로69번길10-1   102호,2021-01-16
671,고향 삼계탕,음식점,분당구,정자동,모두,031-715-6542,"성남시 분당구 내정로11번길 13,1층(정자동)",2021-01-16
672,고향가마솥솥뚜껑,음식점,중원구,상대원2동,지류,031-733-6191,성남시 중원구 희망로344번길 5-5,2021-01-16
673,고향기름집,기타(도소매),중원구,성남동,모두,031-754-7231,"성남시 중원구 둔촌대로63번길 10-7, 1층",2021-01-16
674,고향닭갈비,음식점,중원구,상대원3동,모두,031-747-5281,성남시 중원구 희망로326번길 3-13,2021-01-16
675,고향떡집,떡,수정구,태평3동,모두,031-751-2263,성남시 수정구 수정북로 44,2021-01-16
676,고향마루,음식점,분당구,정자1동,지류,031-718-8883,성남시 분당구 성남대로331번길 9-6,2021-01-16
677,고향마트,슈퍼마켓,중원구,성남동,지류,031-000-0000,성남시 중원구 광명로 80(성남동),2021-01-16
678,고향손칼국수,음식점,수정구,위례동,지류,031-759-2216,성남시 수정구 헌릉로 999,2021-01-16
679,고향손칼국수,음식점,수정구,신흥1동,지류,031-721-3834,성남시 수정구 시민로175번길 45,2021-01-16
680,고향순대국,음식점,수정구,신흥1동,모두,031-757-5376,"성남시 수정구 시민로 175, 1층(신흥동)",2021-01-16
681,고향식당,음식점,중원구,성남동,모두,031-000-0000,"성남시 중원구 광명로 80, 1층(성남동, 대원빌딩)",2021-01-16
682,고향집(화로구이),음식점,수정구,고등동,모두,031-752-0368,성남시  수정구 달래내로377번길 13 (상적동),2021-01-16
683,고향초두부,음식점,수정구,수진1동,모두,031-000-0000,"성남시 수정구 수정남로 57(수진동,1층)",2021-01-16
684,고향축산할인매장,정육점,중원구,성남동,모두,031-758-6649,성남시 중원구 제일로35번길 33-2,2021-01-16
685,고향축산할인매장 상대원점,정육점,중원구,상대원1동,모두,031-731-6689,성남시 중원구 둔촌대로425번길 12,2021-01-16
686,고현아헤어,미용,중원구,금광2동,지류,031-698-2097,경기도 성남시 중원구 광명로309번길 6 (금광동),2021-01-16
687,고확행,음식점,중원구,도촌동,모두,031-755-9293,"성남시 중원구 성남대로997번길 25-12, 1층(여수동)",2021-01-16
